nfs-server    | Starting rpcbind
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_get_fsid :FSAL :DEBUG :blkid_devno_to_devname of /exports failed for dev 8.2
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_create_file_system :FSAL :DEBUG :Skipped duplicate /exports namelen=255 fsid=0x000000005449d694.0x000000001f0426c0 1414125204.520365760 type=ext4
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_create_file_system :FSAL :DEBUG :Switching device for /exports from overlay to /dev/sda2 type from overlay to ext4
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /proc/bus because type proc
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /proc/fs because type proc
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /proc/irq because type proc
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /proc/sys because type proc
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /proc/sysrq-trigger because type proc
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_get_fsid :FSAL :F_DBG :statfs of /proc/acpi pathlen 0
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_get_fsid :FSAL :DEBUG :blkid_devno_to_devname of /proc/acpi failed for dev 0.282
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_create_file_system :FSAL :INFO :Added filesystem /proc/acpi namelen=255 dev=0.282 fsid=0x0000000000000000.0x000000000000011a 0.282 type=tmpfs
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_get_fsid :FSAL :F_DBG :statfs of /proc/scsi pathlen 0
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_get_fsid :FSAL :DEBUG :blkid_devno_to_devname of /proc/scsi failed for dev 0.283
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_create_file_system :FSAL :INFO :Added filesystem /proc/scsi namelen=255 dev=0.283 fsid=0x0000000000000000.0x000000000000011b 0.283 type=tmpfs
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_get_fsid :FSAL :F_DBG :statfs of /sys/firmware pathlen 0
